caseName,ebn0Db,frames,noiseHashMismatches,resultMismatches,status
BCH-S200,0,200,0,0,PASS
BCH-S200,2,200,0,0,PASS
BCH-S200,4,200,0,0,PASS
BCH-S200,6,200,0,0,PASS
BCH-S200,8,200,0,0,PASS
BCH-B200,0,200,0,0,PASS
BCH-B200,2,200,0,0,PASS
BCH-B200,4,200,0,0,PASS
BCH-B200,6,200,0,0,PASS
BCH-B200,8,200,0,0,PASS
BCH-S300,0,200,0,0,PASS
BCH-S300,2,200,0,0,PASS
BCH-S300,4,200,0,0,PASS
BCH-S300,6,200,0,0,PASS
BCH-S300,8,200,0,0,PASS
BCH-B300,0,200,0,0,PASS
BCH-B300,2,200,0,0,PASS
BCH-B300,4,200,0,0,PASS
BCH-B300,6,200,0,0,PASS
BCH-B300,8,200,0,0,PASS
