caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,targetSnrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_S15,分块,200,285,0.70175438596491224,1.5381486434452905,0,0,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,2.0381486434452905,0.5,0.5,fer,0.998,1000,998,0,0,0.998
K200_S15,分块,200,285,0.70175438596491224,2.5381486434452905,1,1,fer,0.995,1000,995,0,0,0.995
K200_S15,分块,200,285,0.70175438596491224,3.0381486434452905,1.5,1.5,fer,0.98599999999999999,1000,986,0,0,0.98599999999999999
K200_S15,分块,200,285,0.70175438596491224,3.5381486434452905,2,2,fer,0.94099999999999995,1000,941,0,0,0.94099999999999995
K200_S15,分块,200,285,0.70175438596491224,4.0381486434452905,2.5,2.5,fer,0.86699999999999999,1000,867,0,0,0.86699999999999999
K200_S15,分块,200,285,0.70175438596491224,4.5381486434452905,3,3,fer,0.71499999999999997,1000,715,0,0,0.71499999999999997
K200_S15,分块,200,285,0.70175438596491224,5.0381486434452905,3.5,3.5,fer,0.55400000000000005,1000,554,0,0,0.55400000000000005
K200_S15,分块,200,285,0.70175438596491224,5.5381486434452905,4,4,fer,0.36899999999999999,1000,369,0,0,0.36899999999999999
K200_S15,分块,200,285,0.70175438596491224,6.0381486434452905,4.5,4.5,fer,0.23200000000000001,1000,232,0,0,0.23200000000000001
K200_S15,分块,200,285,0.70175438596491224,6.5381486434452905,5,5,fer,0.13062499999999999,1600,209,0,0,0.13062499999999999
K200_S15,分块,200,285,0.70175438596491224,7.0381486434452905,5.5,5.5,fer,0.064516129032258063,3100,200,0,0,0.064516129032258063
K200_S15,分块,200,285,0.70175438596491224,7.5381486434452905,6,6,fer,0.028309859154929576,7100,201,0,0,0.028309859154929576
K200_S15,分块,200,285,0.70175438596491224,8.0381486434452896,6.4999999999999991,6.4999999999999991,fer,0.010461538461538461,19500,204,0,0,0.010461538461538461
K200_S15,分块,200,285,0.70175438596491224,8.5381486434452896,6.9999999999999991,6.9999999999999991,fer,0.00362,50000,181,0,0,0.00362
K200_S15,分块,200,285,0.70175438596491224,9.0381486434452896,7.4999999999999991,7.4999999999999991,fer,0.0013600000000000001,50000,68,0,0,0.0013600000000000001
K200_S15,分块,200,285,0.70175438596491224,9.5381486434452896,7.9999999999999991,7.9999999999999991,fer,0.00064000000000000005,50000,32,0,0,0.00064000000000000005
K200_M255K207,255整块,200,248,0.80645161290322576,0.93421685162235091,0,0,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,1.434216851622351,0.50000000000000011,0.50000000000000011,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,1.934216851622351,1,1,fer,0.997,1000,997,0,0,0.997
K200_M255K207,255整块,200,248,0.80645161290322576,2.434216851622351,1.5,1.5,fer,0.97999999999999998,1000,980,0,0,0.97999999999999998
K200_M255K207,255整块,200,248,0.80645161290322576,2.934216851622351,2,2,fer,0.92700000000000005,1000,927,0,0,0.92700000000000005
K200_M255K207,255整块,200,248,0.80645161290322576,3.434216851622351,2.5,2.5,fer,0.80800000000000005,1000,808,0,0,0.80800000000000005
K200_M255K207,255整块,200,248,0.80645161290322576,3.934216851622351,3,3,fer,0.54000000000000004,1000,540,0,0,0.54000000000000004
K200_M255K207,255整块,200,248,0.80645161290322576,4.4342168516223506,3.4999999999999996,3.4999999999999996,fer,0.31,1000,310,0,0,0.31
K200_M255K207,255整块,200,248,0.80645161290322576,4.9342168516223506,3.9999999999999996,3.9999999999999996,fer,0.125,1600,200,0,0,0.125
K200_M255K207,255整块,200,248,0.80645161290322576,5.4342168516223506,4.5,4.5,fer,0.031746031746031744,6300,200,0,0,0.031746031746031744
K200_M255K207,255整块,200,248,0.80645161290322576,5.9342168516223506,5,5,fer,0.0054200542005420054,36900,200,0,0,0.0054200542005420054
K200_M255K207,255整块,200,248,0.80645161290322576,6.4342168516223506,5.5,5.5,fer,0.00062,50000,31,0,0,0.00062
